"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","Vehicle_rep1","Vehicle_rep2"
"TSPYL4",2716,4799,1943,2911,4212,4128,6379,2565,3153,3251,4613,3304,2584,6238,5390,2020,1176,2598,2939,2456,2672,2705,8359
"TSPYL5",2851,1770,288,300,905,844,3715,160,227,467,256,739,195,261,532,388,170,221,163,144,249,802,2215
"TSPYL6",4,4,0,3,5,5,4,2,2,0,5,4,0,6,4,2,0,0,0,3,2,0,0
"TSR1",1497,2385,2107,2364,1892,3353,3641,2202,1423,1375,1283,1712,4514,3827,2241,2092,634,3348,1836,2740,1754,1236,3925
"TSR2",1346,3757,2043,4843,3785,4378,2452,2376,4453,1934,2135,2682,2683,2582,2396,1823,659,3123,2044,1575,1813,1134,4008
"TSR3",1849,3892,2036,2890,2126,2428,3315,2683,4508,2048,3008,2325,2636,2466,2513,1494,627,3525,1573,992,2315,760,4025
"TSSC4",1796,2791,1112,2067,1506,1533,2050,2559,3156,1245,2201,1463,2184,3541,1106,794,534,1899,1212,1150,1626,679,3330
"TSSK1B",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,15
"TSSK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TSSK3",9,17,4,16,14,18,30,13,19,10,15,23,8,80,19,17,5,14,5,33,5,23,66
"TSSK4",38,104,21,46,74,72,128,73,51,43,123,150,86,224,66,69,42,61,22,128,71,16,43
"TSSK6",108,114,39,120,79,77,178,241,169,120,210,102,112,124,88,69,45,62,101,190,129,48,121
"TST",1192,1614,529,993,1391,1473,1149,1993,1552,2323,899,1316,1415,1374,765,1161,474,2898,642,315,1322,442,2284
"TSTD1",290,39,562,41,220,74,44,796,29,417,193,450,1531,521,348,333,420,1552,578,389,414,280,1138
"TSTD2",617,926,366,756,709,862,1783,643,858,826,1011,491,903,2146,1254,482,279,683,495,1046,696,570,1761
"TSTD3",11,29,11,2,38,19,30,72,22,29,35,50,49,20,45,5,4,15,54,8,35,92,222
"TTBK1",766,1436,601,1237,1911,1098,5694,1000,2091,759,2026,425,968,2915,1268,865,233,1011,928,770,825,684,3265
"TTBK2",459,662,674,1205,1187,1061,1687,824,634,477,581,422,950,1770,702,659,204,587,495,855,304,435,1560
"TTC1",3531,3961,2444,2932,2960,3671,2158,3079,3502,2592,2193,2893,3817,2515,3517,2252,1143,4170,2580,2544,2580,1590,4814
"TTC12",683,1131,505,1031,355,861,77,290,77,353,77,360,383,1281,299,385,80,836,287,260,194,362,1329
"TTC13",1101,886,731,1804,549,982,1181,825,1068,531,852,803,763,1110,881,618,267,1037,322,757,383,333,888
"TTC14",1117,881,707,860,897,1437,2271,3236,977,1756,1149,799,915,3849,1584,1393,603,1325,437,1968,746,587,1127
"TTC16",21,45,6,11,5,22,83,41,8,33,9,35,3,151,14,12,12,19,5,9,8,1,7
"TTC17",2286,3482,2370,1208,2411,3545,3414,3159,2717,2062,3205,1754,3705,4714,2509,2233,874,3393,2112,3368,2050,1832,5247
"TTC19",1928,1803,1710,3596,2064,4471,3862,3721,3598,2028,2537,2007,3670,3762,2827,2115,1083,4033,2532,2904,2295,1566,3796
"TTC21A",251,462,146,295,176,442,877,1170,212,734,198,180,149,1183,319,416,91,165,66,273,162,48,151
"TTC21B",502,968,651,677,664,818,1516,645,1196,588,781,495,1003,967,1135,828,246,920,639,1100,582,740,1568
"TTC21B-AS1",1,3,2,0,3,4,4,0,0,2,2,1,0,3,2,2,2,1,0,4,0,0,0
"TTC22",1,7,3,5,3,3,0,10,3,15,1,3,0,6,6,2,3,5,3,3,5,0,2
"TTC23",424,855,820,946,730,1095,912,1562,1128,662,581,930,1991,1706,557,821,290,1342,861,877,1020,842,2568
"TTC23L",46,87,57,49,31,76,55,103,23,131,13,44,14,142,68,55,7,13,32,46,29,22,79
"TTC24",3,7,0,4,18,3,20,26,79,14,12,6,14,11,34,11,4,39,0,3,10,1,1
"TTC25",162,419,320,201,143,318,433,515,215,477,152,255,213,511,142,204,70,208,146,326,182,80,249
"TTC26",427,1498,861,1101,480,1337,791,684,545,911,356,609,948,1363,601,644,158,948,716,1263,524,367,888
"TTC27",561,1195,847,726,484,834,649,586,1016,681,689,569,1376,499,841,727,238,1028,693,641,591,435,1218
"TTC28",1115,3093,1078,2417,2314,2346,4509,2086,2115,1105,2737,1217,3862,1664,964,2118,519,1634,1141,945,1336,1497,5284
"TTC28-AS1",802,1147,165,491,764,992,3095,1741,849,504,1134,448,846,1009,445,586,316,756,226,427,555,417,1067
"TTC29",10,11,39,5,12,39,6,76,6,226,7,26,20,61,23,16,8,12,12,1,20,5,7
"TTC3",8794,12013,6509,15772,12796,11154,25063,7374,8203,6601,15854,4120,16178,14075,11748,9481,2225,7948,4604,8386,5458,9389,23337
"TTC30A",635,1547,628,948,629,1879,751,674,776,1383,490,1050,843,4043,719,933,227,907,1275,1307,857,621,1823
"TTC30B",306,980,386,765,432,1064,397,510,520,825,356,729,451,1143,579,482,132,555,570,680,613,295,915
"TTC31",365,861,706,973,700,1024,1390,1730,1137,761,933,709,1033,3241,919,908,397,986,577,939,687,407,1638
"TTC32",160,322,147,186,339,274,552,323,486,459,219,380,250,899,269,169,94,279,155,369,325,96,239
"TTC33",750,753,374,919,551,584,773,421,836,530,625,564,699,473,983,512,193,692,355,665,477,460,1120
"TTC34",16,140,84,5,58,91,137,144,25,166,50,138,37,945,59,109,36,55,75,231,52,2,2
"TTC36",19,31,4,20,17,28,27,24,29,25,22,37,12,63,19,6,2,23,20,31,24,13,72
"TTC37",1900,5057,2971,5047,4070,5270,5977,2608,4296,2035,2721,2838,3941,3969,3979,3302,909,3646,2859,3353,3021,3144,8013
"TTC38",697,1664,785,1484,1278,895,1603,1897,1147,1857,710,1402,2093,1057,813,1647,525,2756,856,823,3115,850,3580
"TTC39A",87,930,465,258,131,166,27,107,382,269,61,233,157,87,62,201,24,541,70,177,654,33,135
"TTC39B",608,990,1185,802,399,781,188,532,220,348,299,568,367,682,564,460,255,656,585,808,329,129,313
"TTC39C",737,944,844,1101,470,550,1075,573,551,679,813,1085,682,240,782,579,156,951,447,448,828,454,1161
"TTC3P1",711,1612,647,2111,735,3641,1575,431,748,585,783,653,2794,1966,846,118,158,527,552,2096,562,241,553
"TTC4",161,212,136,195,128,169,99,116,199,201,190,149,233,162,201,176,48,219,236,238,137,48,144
"TTC5",1097,974,380,794,619,1204,709,613,836,790,753,955,1270,760,1579,600,349,1015,558,1111,1073,508,1962
"TTC7A",660,2752,2441,4204,2220,4247,1719,2120,2449,2271,1073,2997,1593,4682,1247,2132,608,2553,2087,1250,2303,623,2613
"TTC7B",679,1465,811,2241,2063,2326,1764,1143,1717,703,2121,1762,2018,1132,1695,942,457,1967,998,1407,1206,581,2250
"TTC8",779,604,431,1083,762,1466,493,1340,785,689,875,677,1445,954,1292,593,328,1169,620,860,992,921,2284
"TTC9",918,377,458,1296,1530,488,430,466,504,929,1469,657,840,716,1066,682,243,874,1086,412,609,697,2557
"TTC9B",1092,54,11,68,391,34,418,282,112,146,478,109,93,185,965,62,79,185,38,48,82,17,130
"TTC9C",970,1087,646,908,588,962,793,863,1270,633,992,573,884,1171,1271,622,267,1269,590,1264,633,430,1405
"TTF1",665,789,679,927,820,988,1112,609,1263,579,1143,535,993,925,785,379,161,791,690,1031,445,449,1167
"TTF2",752,1084,472,1631,699,996,2269,482,1634,678,1079,480,1194,711,813,673,199,1049,493,592,660,533,1716
"TTI1",924,2207,1470,1891,1195,1628,2338,2441,1651,1216,2627,1642,1986,2857,1696,1184,453,1640,1251,1702,1558,883,2918
"TTI2",602,735,478,655,437,616,755,418,988,383,545,681,657,660,759,457,158,699,326,434,270,288,1003
"TTK",867,813,134,1426,504,944,1731,249,478,131,1191,332,546,346,983,103,114,545,505,504,140,328,603
"TTL",3047,9522,2914,5557,3509,6468,4836,2285,4287,1710,3424,2497,4829,2568,3720,2878,919,4035,2344,1955,2475,3370,10189
"TTLL1",586,1491,272,1318,645,1312,1399,1062,1011,983,1009,731,914,719,553,563,189,661,469,442,793,608,2119
"TTLL10",1,8,10,4,1,5,4,10,0,3,3,2,5,8,4,2,2,8,2,0,2,0,0
"TTLL11",220,256,152,269,514,294,661,129,389,205,267,153,277,335,265,190,60,276,140,165,241,100,417
"TTLL12",1613,3065,920,3201,1863,2481,4709,1378,1931,2040,2787,1632,2582,1778,1086,1367,541,2633,969,907,1554,896,4102
"TTLL2",52,1,3,37,36,2,72,11,3,18,40,5,2,24,25,1,2,8,3,1,6,2,6
"TTLL3",570,1051,695,1012,632,1076,3052,3661,806,2786,684,763,741,5426,836,1953,922,891,237,804,849,36,79
"TTLL4",714,3664,1200,1901,1772,2228,2220,1476,1415,1446,1238,1154,1484,3120,1126,2012,530,2529,1279,1188,1106,714,2301
"TTLL5",711,1687,907,2833,1427,2007,1243,1078,1302,668,933,1615,1888,2172,1268,818,246,1444,1382,1728,772,1047,3002
"TTLL6",1,32,21,35,45,267,125,51,17,32,1,93,8,76,12,25,1,39,10,1,12,2,1
"TTLL7",1359,2175,1544,2439,6992,2979,2267,1716,1649,613,1491,592,1479,2272,1855,907,313,563,927,1679,1305,292,753
"TTLL9",151,346,88,161,145,300,521,1147,88,605,378,141,159,665,420,202,90,155,118,88,286,30,120
"TTN",124,39,340,329,147,460,545,92,131,158,174,96,251,1350,288,462,114,189,44,15,50,104,271
"TTN-AS1",111,19,171,27,54,296,290,42,21,103,100,49,145,609,156,238,51,133,33,13,44,17,66
"TTPA",16,200,32,81,33,90,32,101,25,31,39,116,51,338,93,66,10,21,70,51,11,22,34
"TTPAL",1016,2221,1521,1324,958,1765,1203,1555,1627,986,1292,998,1778,2091,1444,1288,284,1283,1238,1275,1560,1177,3113
"TTR",10,0,4,2,4,4,3,12,3,10,0,37,3,459,0,1,2,1,2,3,0,3,21
"TTTY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY10",0,0,5,11,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,1,10
"TTTY11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY13",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY14",3,1,14,382,1,1,0,227,196,4,2,113,1,0,1,0,7,1,0,3,3,12,63
"TTTY17B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY17C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY18",0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY21B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY23B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY4B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY4C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY6B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY7B",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTTY8B",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"TTTY9B",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTYH1",10498,36665,1047,9241,12133,37273,28096,37837,10715,14784,6131,10408,26021,16165,23880,4677,3107,13289,8811,5779,17424,7301,35478
"TTYH2",845,4267,492,3562,10909,3879,4429,3751,6009,2443,3744,2564,3510,6015,5188,3132,1474,2652,1213,1512,3192,60,294
"TTYH3",5398,73827,8826,15856,10521,47417,23282,12663,12277,9866,16050,15364,32578,23693,13599,11860,3020,22521,12216,14256,17587,11390,56131
"TUB",1784,817,618,2159,1968,1609,5745,1615,2618,1777,3294,956,1753,3596,1814,2429,372,1231,716,1128,1042,538,1686
"TUBA1A",307987,190673,32116,133485,104828,138008,118081,163871,163568,75477,110160,58225,139805,139875,205804,61139,31749,87468,44451,22992,131104,60835,217731
"TUBA1B",37249,54271,10848,79639,9638,41507,31311,14437,26416,13812,16992,31537,37646,25717,34796,12167,9189,25675,18934,8920,21019,15203,65756
"TUBA1C",10448,16317,4334,9763,1222,6184,1246,6062,1410,4751,1882,5317,8936,5188,4082,5021,1837,9693,4001,2442,8009,2933,11469
"TUBA3C",5,7,0,1,0,2,2,2,4,2,1,2,1,2,5,3,0,0,1,0,0,0,0
"TUBA3D",17,36,14,51,17,12,64,19,13,16,19,15,15,86,20,9,10,9,7,17,15,5,17
"TUBA3E",6,3,5,29,6,5,3,2,8,3,5,10,4,19,3,0,0,3,4,5,5,0,2
"TUBA3FP",114,97,28,33,40,48,156,90,73,61,70,50,39,70,36,35,16,44,16,25,41,10,43
"TUBA4A",176,5388,1844,4430,1408,389,292,890,809,761,1352,2223,235,1876,1825,635,563,1491,849,778,733,441,1987
"TUBA4B",4,7,15,21,3,2,3,8,1,10,5,3,4,6,7,5,0,8,5,1,2,2,1
"TUBA8",14,9,3,39,3,4,32,15,9,7,35,9,8,48,18,5,6,16,1,8,9,11,78
"TUBAL3",1,1,0,5,1,3,2,7,2,2,1,6,1,15,1,4,1,3,0,1,2,0,0
"TUBB",48082,56440,34896,86561,35449,61514,82248,27033,50173,14130,73049,39774,72962,48595,38702,17123,10656,45986,28505,31974,24170,35059,126176
"TUBB1",19,33,21,27,14,20,33,32,6,12,17,17,15,27,24,13,20,34,8,10,15,57,86
"TUBB2A",7626,5655,2887,5406,3252,3447,7699,5126,2819,1803,6950,3475,6463,4505,6447,2977,1424,5290,4128,3302,3262,3173,12529
"TUBB2B",19885,27609,5353,12434,16949,15956,44596,23859,12787,6207,35879,8167,36987,23454,23541,13443,5024,13629,23293,17374,14524,13091,45701
"TUBB3",1994,1397,312,830,728,780,970,480,1108,349,1456,386,769,63,1446,312,121,605,472,530,841,10410,50564
"TUBB4A",7412,2753,123,9035,51138,7235,49531,1308,18534,2862,15965,1131,1780,3137,19654,2672,1197,2343,411,1439,958,282,1408
"TUBB4B",20091,21809,11277,35010,6813,17348,17007,10868,9758,7605,11877,9922,15486,20583,9909,3096,3081,17402,6638,5848,7761,5215,20284
"TUBB6",5444,11423,8372,841,1292,16049,2761,960,503,1346,531,3728,886,447,2683,1895,958,5343,1908,1145,8022,2689,12283
"TUBB8",8,4,1,2,1,7,176,12,7,12,2,7,1,35,6,2,0,1,3,1,3,0,1
"TUBBP5",6,2,3,2,6,1,1,18,6,19,6,5,1,10,16,2,1,2,2,2,7,0,1
"TUBD1",329,437,257,330,336,505,518,558,539,388,333,265,396,813,579,316,152,432,214,611,214,193,483
"TUBE1",509,697,362,566,452,742,1019,1523,294,458,503,293,424,1141,1202,414,359,711,235,493,333,166,395
"TUBG1",3741,5744,2734,7744,1397,3440,4430,2005,3345,1403,2930,3521,3014,4229,2206,1189,554,2762,1702,1618,1499,979,3883
"TUBG2",1340,2137,1078,1571,1866,1865,2662,3949,1682,2526,970,1880,1685,7667,1809,1218,665,1845,1270,1927,2126,307,1358
"TUBGCP2",3240,6357,2415,4049,2717,4782,7616,2527,3777,2211,2324,4704,2931,4011,2166,2129,755,3197,1593,1359,2301,2232,9607
"TUBGCP3",665,1808,1095,4643,1301,2100,4514,1401,1555,990,1697,1585,2028,1467,1241,749,395,1506,1097,1931,846,631,2029
"TUBGCP4",471,981,852,1407,882,1299,1891,931,1125,433,623,817,1563,860,669,742,193,815,856,1299,261,1074,2878
"TUBGCP5",695,998,584,1563,735,1766,1278,949,496,557,580,1123,1421,2919,623,593,256,1011,930,1805,764,671,1715
"TUBGCP6",1158,2410,599,1984,1711,2034,7433,7581,1889,2314,2371,1302,2051,7642,1404,2576,1238,2560,530,1139,1635,980,3816
"TUFM",8000,14233,4158,12965,6654,8950,13004,13194,16609,8821,10793,12441,13725,13314,10621,8563,3425,12643,9357,7456,9923,3846,16341
"TUFT1",481,624,354,1032,184,422,339,359,173,322,691,423,297,331,441,405,78,319,271,359,231,303,986
"TUG1",4253,7671,3610,6382,5703,8737,14209,7432,6736,2611,5245,2711,8806,13447,4171,5934,1424,6993,3041,5203,3897,5850,13747
"TULP1",1,8,4,3,5,2,12,7,2,3,2,24,25,9,3,12,2,15,2,8,17,0,2
"TULP2",7,68,12,4,10,10,3,44,0,38,3,36,30,78,4,25,9,16,27,36,19,3,8
"TULP3",1053,2446,1234,4337,1070,1998,2434,1629,1554,1473,1100,1392,1787,1905,1064,1477,424,1626,2422,2856,953,977,2943
"TULP4",1004,2041,1331,1927,4207,1993,3049,1185,1811,900,1920,950,1059,2050,1921,857,297,1010,1225,730,939,1121,3032
"TUNAR",176,1,4,0,63,10,2,5,11,10,147,41,5,82,159,14,18,2,0,42,1,31,88
"TUSC1",1202,1024,1187,2343,687,873,314,114,190,185,1379,1282,98,942,541,329,199,122,553,363,551,213,911
"TUSC2",1525,2790,1834,1647,1716,1913,1561,2930,3985,2993,2193,2565,2127,4295,2706,1841,730,2820,1520,1666,1975,943,3462
"TUSC3",4158,157,4211,325,592,792,116,285,3993,571,455,316,493,340,1090,1566,374,586,196,139,475,3186,9311
"TUSC7",0,3,0,0,1,0,5,0,2,1,1,1,0,0,1,0,0,0,1,0,2,0,0
"TUSC8",0,0,0,2,0,3,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"TUT1",534,912,597,832,543,706,856,1032,909,530,864,529,547,2558,558,318,216,718,661,914,330,513,2440
"TVP23A",570,700,524,658,364,848,537,480,1123,752,573,279,581,1126,1147,693,201,626,404,337,825,331,1079
"TVP23B",798,1148,1318,787,749,1077,687,926,1329,885,760,597,1157,804,778,1487,278,1296,741,1486,856,324,724
"TVP23C",46,36,66,103,24,85,15,127,18,68,60,78,63,71,51,89,28,82,37,76,30,46,130
"TVP23C-CDRT4",5,2,1,9,5,13,3,3,4,2,4,5,6,1,16,21,2,7,5,17,4,0,0
"TWF1",3584,6359,4098,4758,2274,6352,2775,3256,3698,3147,1326,2535,5771,2813,5461,3426,1052,5528,3179,2146,4091,1715,3453
"TWF2",1773,3519,2296,3431,1512,2100,1890,2443,3088,2587,1289,4391,2583,1791,1763,2213,737,6872,2006,1081,2169,1266,5891
"TWIST1",41,47,774,772,185,38,14,231,1240,982,419,579,457,24,170,110,120,135,22,82,1265,20,63
"TWIST2",4,9,119,19,9,14,5,7,33,138,7,41,165,24,36,14,7,221,1,5,124,10,32
"TWSG1",1752,6188,6678,6103,2949,6046,1556,2660,3122,8068,1676,3608,6792,7511,2923,8328,1494,4447,8887,4889,8614,2133,6561
"TXK",1,9,6,6,9,3,6,12,10,30,4,6,5,14,6,44,5,9,4,4,13,2,1
"TXLNA",3071,8278,6086,7118,4428,4493,3361,4262,6047,4180,4360,4951,6742,8110,4652,4174,1313,6987,6726,6067,3766,2978,8961
"TXLNB",80,872,434,1455,466,569,104,437,78,1013,176,293,120,1244,78,623,154,746,638,72,347,4,16
"TXLNG",677,2189,958,1941,1365,2039,2184,570,1168,923,1858,861,1615,2213,1291,1163,263,1411,1031,2080,750,512,994
"TXLNGY",25,5,579,1466,3,9,8,939,940,28,13,697,11,10,21,10,22,9,4,13,16,197,406
"TXN",6052,7569,8771,4862,3234,4476,2547,3954,4916,3345,6545,3470,5325,2555,4120,2094,1223,8662,3260,2209,3859,2115,5603
"TXN2",4348,6996,2282,5057,3730,4343,5211,6394,5807,2634,5520,5048,3705,3192,3147,3771,1634,7463,2392,2233,4545,2247,9045
"TXNDC11",1081,2093,1794,2045,1285,1667,1543,1307,1944,1911,1148,1754,1836,2348,1561,1708,563,2002,1214,1623,1440,585,2132
"TXNDC12",3228,4681,4525,4835,2663,3989,2116,3694,4617,4863,3022,3993,5174,3908,4419,2781,1723,5702,6514,5708,4108,2246,5163
"TXNDC15",4465,3769,4460,2684,2516,3430,3631,4206,3813,4550,2847,5363,5068,2857,3992,4477,2304,9495,3560,4418,3747,2192,5097
"TXNDC16",642,2035,372,1904,1103,1407,1787,771,962,847,1400,849,1211,1682,1417,454,265,547,1266,971,857,832,1693
"TXNDC17",3119,1645,2219,1551,796,1678,1308,2135,1212,1565,628,1619,2313,1891,1910,1292,766,3883,1010,1392,1887,1013,2689
"TXNDC2",27,22,4,16,15,39,33,40,9,2,21,10,19,6,19,13,11,12,22,7,11,7,31
"TXNDC5",102,231,135,222,128,166,212,71,209,120,178,242,383,163,199,185,79,814,182,225,383,45,235
"TXNDC8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"TXNDC9",1441,1296,1058,871,874,1075,732,938,1377,1108,707,691,1257,1000,1356,844,506,1780,649,631,1018,568,1369
"TXNIP",2561,14508,16817,12897,25082,7494,18264,9340,15630,15908,21647,19508,10472,18009,19613,23571,5743,57480,19285,7281,21423,4905,15553
"TXNL1",4957,5670,3764,7723,3253,7181,4031,4017,6185,2648,3503,2907,4809,4822,2934,3033,1511,5705,2707,2791,3157,1619,3528
"TXNL4A",3096,3978,2531,5502,2886,6339,3403,2958,4581,1993,3720,4010,3143,2423,3284,2153,1051,4029,1707,1392,2333,956,3247
"TXNL4B",605,978,488,1247,642,993,886,974,1590,588,339,829,1630,1713,947,548,288,1152,752,1144,840,474,1213
"TXNRD1",3343,15896,14277,10866,5045,6088,4706,2473,6507,3045,7061,4391,5109,3668,5777,5549,1288,4813,3308,2025,3188,6764,18980
"TXNRD2",612,1525,499,1449,876,990,1048,1623,1318,463,983,1004,1429,741,736,851,394,1476,504,345,1174,606,2727
"TXNRD3",315,572,205,365,237,464,441,379,627,408,220,235,503,481,199,399,84,545,313,305,404,148,511
"TYK2",2881,5262,2807,4271,3028,3137,9159,8734,7125,4149,3299,5210,5971,8423,3243,3225,2072,4409,4777,4966,5733,1611,6482
"TYMP",451,2553,3438,3277,2167,2008,993,2147,2997,1387,514,3478,995,2227,797,2135,483,2070,1325,395,3490,7,32
"TYMS",2044,2898,5462,12377,1888,3120,4048,1047,2561,616,3899,7226,4311,2130,2522,920,548,3066,2211,1348,1040,276,1305
"TYMSOS",135,245,180,453,185,164,243,61,153,41,96,684,119,146,63,32,13,91,82,92,79,15,55
"TYR",0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,1,1,0
"TYRO3",2569,7714,1281,5179,6695,4762,7686,2521,2666,1608,2207,2956,7391,3782,2684,2488,605,10912,2642,2300,1987,2361,9953
"TYRO3P",4,13,3,10,7,15,14,3,6,5,5,6,13,3,5,9,4,26,4,5,6,1,1
"TYROBP",910,6305,6386,6235,4209,3814,1700,3801,8213,8019,1173,8210,1774,1911,3508,5570,2505,6001,3489,678,7741,0,0
"TYRP1",0,0,13,0,23,23,0,64,7,28,7,1,0,18,21,3,1,1,2,3,5,2,5
"TYSND1",1122,1544,413,883,471,832,1755,658,718,488,405,924,424,721,356,479,192,692,306,353,504,362,1854
"TYW1",466,2480,962,1261,926,1835,1653,1571,1480,885,1180,1525,2159,1747,1073,795,315,1815,1195,1322,900,460,1507
"TYW1B",102,212,421,168,368,138,875,175,86,123,163,132,813,195,148,66,39,181,49,132,57,165,564
"TYW3",524,948,631,702,795,898,393,542,483,724,644,666,797,1056,763,561,201,938,882,979,484,327,664
"TYW5",397,574,247,335,365,451,675,521,382,334,368,233,577,535,621,389,187,639,210,463,384,248,522
"U2AF1",19,78,29,58,20,103,190,84,36,56,33,25,48,171,56,52,15,51,44,103,21,1575,4500
"U2AF1L4",227,566,199,422,321,300,583,2089,682,429,531,373,497,2572,687,315,448,484,263,529,593,111,430
"U2AF2",7113,12945,5725,11333,7151,10023,13299,12471,11695,6726,8309,11615,17318,15339,9307,5917,3227,9888,8564,9495,8929,4972,19020
"U2SURP",2130,3157,3110,3706,3278,3799,6911,3623,3203,2460,3267,2396,5188,4884,3507,2834,960,3420,1574,3244,2171,1657,3234
"UACA",811,1363,2545,1671,1171,4934,1702,1602,811,844,961,837,2881,2104,2750,1776,760,2176,1085,596,1240,369,831
"UAP1",2126,2553,6535,1822,1578,2027,1480,1030,2275,1349,2140,1365,1957,1134,1704,1937,396,2873,2087,2622,2045,1367,3374
"UAP1L1",775,4579,1020,2096,1793,2379,3211,2439,1222,1012,1031,636,1687,3992,1074,1589,453,1876,564,2014,1397,471,2009
"UBA1",14762,33515,11303,32558,17404,38596,37585,12922,32522,17886,22811,16304,24519,20040,14865,20170,5477,32960,13055,16575,18191,10962,42484
"UBA2",6169,7906,5062,7552,4535,7788,6340,5226,7124,3637,9287,6840,11447,3589,7053,3826,2285,7824,5125,9779,4140,3070,7311
"UBA3",2619,3109,2444,2609,2938,3586,2814,3286,3832,4208,2401,2667,3659,2505,3442,2531,1115,4231,2069,2419,3013,1927,4801
"UBA5",1628,2082,1408,1206,1552,2268,3217,2372,2115,1800,1927,1249,2555,2838,2255,1731,595,2347,1426,2549,1414,982,2222
"UBA52",21963,26413,16259,22264,15442,14401,23044,26214,41344,18706,32551,22574,24534,12648,19010,15132,8875,29768,19717,22010,25808,7729,30920
"UBA6",1686,2965,2171,2199,2352,3197,2903,1959,2101,1659,1902,1322,2976,2646,2910,1968,610,2743,1358,1556,1805,1454,2680
"UBA6-AS1",948,567,444,664,576,742,733,687,866,610,829,352,665,857,883,465,179,611,530,415,662,443,1194
"UBA7",283,2151,1479,3956,984,2157,1089,3741,3907,3006,474,2440,1405,6930,1428,2963,1413,2000,950,1416,1983,147,566
"UBAC1",1803,3495,1594,2973,1955,2510,2819,3371,3356,2717,2186,3248,2810,3177,2753,1546,985,3659,1928,1840,2339,907,3461
"UBAC2",1983,4667,1620,5692,1765,3065,4245,3473,4139,3210,2496,2810,3491,2226,2156,2235,1084,4681,2494,2430,3145,1692,5414
